template_key,product_name,volume_ml,category,price,variant_count,template_id
DDYS - Pop Salts (LIQ Salt)(30mL)|30.0,DDYS - Pop Salts (LIQ Salt)(30mL),30.0,All / Saleable / E-Juice,4.25,1,TPL_0108
DDYS - Pyro Boost (Dispo) (25000Puff)(20mL)|20.0,DDYS - Pyro Boost (Dispo) (25000Puff)(20mL),20.0,All / Saleable / Disposable E-Cig,7.5,6,TPL_0109
DDYS - Pyro Duo (Dispo) (30000Puff)(24mL)|24.0,DDYS - Pyro Duo (Dispo) (30000Puff)(24mL),24.0,All / Saleable / Disposable E-Cig,8.0,2,TPL_0110
DDYS - Sadboy (LIQ FB)(100mL)|100.0,DDYS - Sadboy (LIQ FB)(100mL),100.0,All / Saleable / E-Juice,6.0,18,TPL_0111
DDYS - Sadboy (LIQ Salt)(30mL)|30.0,DDYS - Sadboy (LIQ Salt)(30mL),30.0,All / Saleable / E-Juice,6.0,38,TPL_0112
DDYS - Twist (LIQ FB)(120mL; 60mL x2)|nan,DDYS - Twist (LIQ FB)(120mL; 60mL x2),,All / Saleable / E-Juice,10.5,28,TPL_0113
DDYS - Twist (LIQ Salt)(60mL; 30mL x2)|nan,DDYS - Twist (LIQ Salt)(60mL; 30mL x2),,All / Saleable / E-Juice,10.5,27,TPL_0114
DDYS - Uwell (Collab Bundle) V6 (Kit PS) + Mints (LIQ Salt)(30mL) - Color: Cyan|30.0,DDYS - Uwell (Collab Bundle) V6 (Kit PS) + Mints (LIQ Salt)(30mL) - Color: Cyan,30.0,All / Saleable / E-Juice,6.95,1,TPL_0115
DDYS - Uwell (Collab Bundle) V6 (Kit PS) + Twist (LIQ Salt)(30mL) - Color: Yellow|30.0,DDYS - Uwell (Collab Bundle) V6 (Kit PS) + Twist (LIQ Salt)(30mL) - Color: Yellow,30.0,All / Saleable / E-Juice,6.95,1,TPL_0116
DDYS - Verdict (LIQ FB)(120mL; 60mL x2)|nan,DDYS - Verdict (LIQ FB)(120mL; 60mL x2),,All / Saleable / E-Juice,8.75,4,TPL_0117
DDYS - Verdict (LIQ Salt)(30mL)|30.0,DDYS - Verdict (LIQ Salt)(30mL),30.0,All / Saleable / E-Juice,2.95,1,TPL_0118
DDYS - Zen Haus (LIQ FB)(120mL; 60mL x2)|nan,DDYS - Zen Haus (LIQ FB)(120mL; 60mL x2),,All / Saleable / E-Juice,8.75,9,TPL_0119
