sku,name,qty,price,category,product_name,flavor,nicotine_mg,volume_ml,template_key,template_id,variant_id
ONT005140,TRDP - Hi Drip (LIQ FB)(100mL) - Dew Berry 06mg,0.5,5.5,All / Saleable / E-Juice,TRDP - Hi Drip (LIQ FB)(100mL),Dew Berry,6.0,100.0,TRDP - Hi Drip (LIQ FB)(100mL)|100.0,TPL_0477,VAR_2902
ONT005141,TRDP - Hi Drip (LIQ FB)(100mL) - Dew Berry Iced 00mg,0.078125,5.5,All / Saleable / E-Juice,TRDP - Hi Drip (LIQ FB)(100mL),Dew Berry Iced,0.0,100.0,TRDP - Hi Drip (LIQ FB)(100mL)|100.0,TPL_0477,VAR_2903
ONT005142,TRDP - Hi Drip (LIQ FB)(100mL) - Dew Berry Iced 03mg,0.15625,5.5,All / Saleable / E-Juice,TRDP - Hi Drip (LIQ FB)(100mL),Dew Berry Iced,3.0,100.0,TRDP - Hi Drip (LIQ FB)(100mL)|100.0,TPL_0477,VAR_2904
ONT005143,TRDP - Hi Drip (LIQ FB)(100mL) - Dew Berry Iced 06mg,0.5,5.5,All / Saleable / E-Juice,TRDP - Hi Drip (LIQ FB)(100mL),Dew Berry Iced,6.0,100.0,TRDP - Hi Drip (LIQ FB)(100mL)|100.0,TPL_0477,VAR_2905
ONT016711,TRDP - Hi Drip (LIQ FB)(100mL) - Guava Lava 03mg,0.3125,5.5,All / Saleable / E-Juice,TRDP - Hi Drip (LIQ FB)(100mL),Guava Lava,3.0,100.0,TRDP - Hi Drip (LIQ FB)(100mL)|100.0,TPL_0477,VAR_2906
ONT016712,TRDP - Hi Drip (LIQ FB)(100mL) - Guava Lava 06mg,0.078125,5.5,All / Saleable / E-Juice,TRDP - Hi Drip (LIQ FB)(100mL),Guava Lava,6.0,100.0,TRDP - Hi Drip (LIQ FB)(100mL)|100.0,TPL_0477,VAR_2907
ONT005132,TRDP - Hi Drip (LIQ FB)(100mL) - Island Orange 00mg,0.078125,5.5,All / Saleable / E-Juice,TRDP - Hi Drip (LIQ FB)(100mL),Island Orange,0.0,100.0,TRDP - Hi Drip (LIQ FB)(100mL)|100.0,TPL_0477,VAR_2908
ONT005133,TRDP - Hi Drip (LIQ FB)(100mL) - Island Orange 03mg,1.0,5.5,All / Saleable / E-Juice,TRDP - Hi Drip (LIQ FB)(100mL),Island Orange,3.0,100.0,TRDP - Hi Drip (LIQ FB)(100mL)|100.0,TPL_0477,VAR_2909
ONT005134,TRDP - Hi Drip (LIQ FB)(100mL) - Island Orange 06mg,0.5,5.5,All / Saleable / E-Juice,TRDP - Hi Drip (LIQ FB)(100mL),Island Orange,6.0,100.0,TRDP - Hi Drip (LIQ FB)(100mL)|100.0,TPL_0477,VAR_2910
ONT005136,TRDP - Hi Drip (LIQ FB)(100mL) - Island Orange Iced 03mg,0.5,5.5,All / Saleable / E-Juice,TRDP - Hi Drip (LIQ FB)(100mL),Island Orange Iced,3.0,100.0,TRDP - Hi Drip (LIQ FB)(100mL)|100.0,TPL_0477,VAR_2911
ONT005137,TRDP - Hi Drip (LIQ FB)(100mL) - Island Orange Iced 06mg,0.5,5.5,All / Saleable / E-Juice,TRDP - Hi Drip (LIQ FB)(100mL),Island Orange Iced,6.0,100.0,TRDP - Hi Drip (LIQ FB)(100mL)|100.0,TPL_0477,VAR_2912
